"";"UF";"ETAPA";"COR";"taxa_pd";"se.pd"
"1";"Brasil";"EJA";"Branca";0,29442933778564;0,00992711374807946
"2";"Brasil";"EJA";"Negra";0,699887603342163;0,0101108247901567
"3";"Brasil";"EJA";"Outros";0,00568305887219605;0,00147131607144401
"4";"Rondônia";"EJA";"Banca";0,222728618157961;0,0535391483743995
"5";"Rondônia";"EJA";"Negra";0,770458044648858;0,0525589204898308
"6";"Rondônia";"EJA";"Outros";0,00681333719318063;0,00670223190665608
"7";"Acre";"EJA";"Banca";0,0736473986084425;0,0176829151107278
"8";"Acre";"EJA";"Negra";0,922242174400458;0,018198588695335
"9";"Acre";"EJA";"Outros";0,00411042699109912;0,00441959371313803
"10";"Amazonas";"EJA";"Banca";0,116248073557775;0,0236201337334433
"11";"Amazonas";"EJA";"Negra";0,85403592963263;0,0254897866766097
"12";"Amazonas";"EJA";"Outros";0,0297159968095942;0,0131997788636727
"13";"Roraima";"EJA";"Banca";0,12905586138977;0,0291049765543424
"14";"Roraima";"EJA";"Negra";0,827296028683043;0,0395255484842391
"15";"Roraima";"EJA";"Outros";0,0436481099271872;0,0184591100514798
"16";"Pará";"EJA";"Banca";0,123284588767734;0,0248787238854203
"17";"Pará";"EJA";"Negra";0,873244832206036;0,0251890740909677
"18";"Pará";"EJA";"Outros";0,00347057902623059;0,00348261846497359
"19";"Amapá";"EJA";"Banca";0,156748960396988;0,0751233443064101
"20";"Amapá";"EJA";"Negra";0,843251039603012;0,0751233443064101
"21";"Amapá";"EJA";"Outros";0;0
"22";"Tocantins";"EJA";"Banca";0,231555057106905;0,0704845466195368
"23";"Tocantins";"EJA";"Negra";0,768444942893095;0,0704845466195368
"24";"Tocantins";"EJA";"Outros";0;0
"25";"Maranhão";"EJA";"Banca";0,172243725626851;0,029977056901245
"26";"Maranhão";"EJA";"Negra";0,819251165194912;0,0313483247031916
"27";"Maranhão";"EJA";"Outros";0,00850510917823689;0,00989877161644683
"28";"Piauí";"EJA";"Banca";0,145196649056283;0,0350063717367229
"29";"Piauí";"EJA";"Negra";0,854803350943717;0,0350063717367229
"30";"Piauí";"EJA";"Outros";0;0
"31";"Ceará";"EJA";"Banca";0,221997717248825;0,0341988094351041
"32";"Ceará";"EJA";"Negra";0,768490768316934;0,0354693060700944
"33";"Ceará";"EJA";"Outros";0,00951151443424091;0,0100074359548412
"34";"Rio Grande do Norte";"EJA";"Banca";0,25490058256164;0,0348606995798256
"35";"Rio Grande do Norte";"EJA";"Negra";0,74509941743836;0,0348606995798256
"36";"Rio Grande do Norte";"EJA";"Outros";0;0
"37";"Paraíba";"EJA";"Banca";0,212392409666202;0,0416995785595304
"38";"Paraíba";"EJA";"Negra";0,774186306810218;0,0417446170756632
"39";"Paraíba";"EJA";"Outros";0,0134212835235789;0,0128045760750655
"40";"Pernambuco";"EJA";"Banca";0,190829014546859;0,0351078412058303
"41";"Pernambuco";"EJA";"Negra";0,799706562186138;0,0349984536845556
"42";"Pernambuco";"EJA";"Outros";0,00946442326700231;0,00773531988884463
"43";"Alagoas";"EJA";"Banca";0,120739169452396;0,0296026021958083
"44";"Alagoas";"EJA";"Negra";0,872569045905444;0,0313075745334072
"45";"Alagoas";"EJA";"Outros";0,00669178464215978;0,00630520180147498
"46";"Sergipe";"EJA";"Banca";0,170204490872136;0,0405011076017165
"47";"Sergipe";"EJA";"Negra";0,829795509127864;0,0405011076017165
"48";"Sergipe";"EJA";"Outros";0;0
"49";"Bahia";"EJA";"Banca";0,0642718227150911;0,0174976146793492
"50";"Bahia";"EJA";"Negra";0,931323293180887;0,0185035497460446
"51";"Bahia";"EJA";"Outros";0,00440488410402175;0,00405453404058914
"52";"Minas Gerais";"EJA";"Banca";0,261441078692246;0,0342406137034903
"53";"Minas Gerais";"EJA";"Negra";0,737802059596358;0,0342036110114902
"54";"Minas Gerais";"EJA";"Outros";0,000756861711396053;0,00074909913276059
"55";"Espírito Santo";"EJA";"Banca";0,279274674161392;0,0418890965431776
"56";"Espírito Santo";"EJA";"Negra";0,720725325838609;0,0418890965431775
"57";"Espírito Santo";"EJA";"Outros";0;0
"58";"Rio de Janeiro";"EJA";"Banca";0,353932264205666;0,0399764038762945
"59";"Rio de Janeiro";"EJA";"Negra";0,646067735794334;0,0399764038762945
"60";"Rio de Janeiro";"EJA";"Outros";0;0
"61";"São Paulo";"EJA";"Banca";0,427961747672664;0,0508947404170718
"62";"São Paulo";"EJA";"Negra";0,56230889369428;0,0507303573569865
"63";"São Paulo";"EJA";"Outros";0,00972935863305559;0,00936491156708691
"64";"Paraná";"EJA";"Banca";0,573513962710304;0,0492343955412591
"65";"Paraná";"EJA";"Negra";0,426486037289696;0,0492343955412591
"66";"Paraná";"EJA";"Outros";0;0
"67";"Santa Catarina";"EJA";"Banca";0,789816444285672;0,0362786298037194
"68";"Santa Catarina";"EJA";"Negra";0,210183555714328;0,0362786298037194
"69";"Santa Catarina";"EJA";"Outros";0;0
"70";"Rio Grande do Sul";"EJA";"Banca";0,724687987337751;0,0416211336979536
"71";"Rio Grande do Sul";"EJA";"Negra";0,275312012662249;0,0416211336979536
"72";"Rio Grande do Sul";"EJA";"Outros";0;0
"73";"Mato Grosso do Sul";"EJA";"Banca";0,32777024476558;0,0541653489317168
"74";"Mato Grosso do Sul";"EJA";"Negra";0,67222975523442;0,0541653489317168
"75";"Mato Grosso do Sul";"EJA";"Outros";0;0
"76";"Mato Grosso";"EJA";"Banca";0,24486231103094;0,0462421599050308
"77";"Mato Grosso";"EJA";"Negra";0,723132329739588;0,0473999182633536
"78";"Mato Grosso";"EJA";"Outros";0,0320053592294715;0,0235697139931643
"79";"Goiás";"EJA";"Banca";0,370580650658546;0,0832878715477262
"80";"Goiás";"EJA";"Negra";0,629419349341454;0,0832878715477262
"81";"Goiás";"EJA";"Outros";0;0
"82";"Distrito Federal";"EJA";"Banca";0,289852608098737;0,0521584033772545
"83";"Distrito Federal";"EJA";"Negra";0,710147391901264;0,0521584033772545
"84";"Distrito Federal";"EJA";"Outros";0;0
