"";"UF";"ETAPA";"REDE";"COR";"total_pd";"se.pd"
"1";"Brasil";"Pré-escola";"Rede privada";"Branca";387977,74894072;20331,3468108753
"2";"Brasil";"Pré-escola";"Rede privada";"Negra";293432,84706277;16351,8654308217
"3";"Brasil";"Pré-escola";"Rede privada";"Outros";5407,70303402;2928,15231091095
"4";"Brasil";"Pré-escola";"Rede pública";"Branca";899722,28906341;29624,8841545683
"5";"Brasil";"Pré-escola";"Rede pública";"Negra";1491618,04135539;32880,443393731
"6";"Brasil";"Pré-escola";"Rede pública";"Outros";14500,5101782;2553,06275823806
"7";"Brasil";"Regular do ensino fundamental";"Rede privada";"Branca";2794236,41620256;83038,3784498669
"8";"Brasil";"Regular do ensino fundamental";"Rede privada";"Negra";2067351,42349043;47884,8683401549
"9";"Brasil";"Regular do ensino fundamental";"Rede privada";"Outros";46492,59855287;6816,07773632105
"10";"Brasil";"Regular do ensino fundamental";"Rede pública";"Branca";7809044,95714793;99076,2028411821
"11";"Brasil";"Regular do ensino fundamental";"Rede pública";"Negra";15150563,1325509;115755,678907714
"12";"Brasil";"Regular do ensino fundamental";"Rede pública";"Outros";186015,84847237;16742,6580680626
"13";"Brasil";"Regular do ensino médio";"Rede privada";"Branca";647098,53311888;29427,2361002155
"14";"Brasil";"Regular do ensino médio";"Rede privada";"Negra";384918,05293338;18551,5671010545
"15";"Brasil";"Regular do ensino médio";"Rede privada";"Outros";12747,3787034;4133,98440454016
"16";"Brasil";"Regular do ensino médio";"Rede pública";"Branca";2576990,76645416;48434,2083068071
"17";"Brasil";"Regular do ensino médio";"Rede pública";"Negra";4661449,38239756;64594,6116114804
"18";"Brasil";"Regular do ensino médio";"Rede pública";"Outros";57587,59303853;7308,76219694409
"19";"Rondônia";"Pré-escola";"Rede privada";"Branca";0;0
"20";"Rondônia";"Pré-escola";"Rede privada";"Negra";717,91833386;471,151982661991
"21";"Rondônia";"Pré-escola";"Rede privada";"Outros";0;0
"22";"Rondônia";"Pré-escola";"Rede pública";"Branca";6614,08342687;1669,65585889727
"23";"Rondônia";"Pré-escola";"Rede pública";"Negra";13427,83120172;2782,3802683164
"24";"Rondônia";"Pré-escola";"Rede pública";"Outros";151,46962643;152,378666841822
"25";"Acre";"Pré-escola";"Rede privada";"Branca";339,78228173;171,512012093462
"26";"Acre";"Pré-escola";"Rede privada";"Negra";442,95216423;231,811543144863
"27";"Acre";"Pré-escola";"Rede privada";"Outros";0;0
"28";"Acre";"Pré-escola";"Rede pública";"Branca";1769,83832886;461,924857377435
"29";"Acre";"Pré-escola";"Rede pública";"Negra";12692,43421203;1170,04892262695
"30";"Acre";"Pré-escola";"Rede pública";"Outros";170,55786196;164,527581622052
"31";"Amazonas";"Pré-escola";"Rede privada";"Branca";4664,51370276;1307,98976707629
"32";"Amazonas";"Pré-escola";"Rede privada";"Negra";3492,64782495;1199,6426688496
"33";"Amazonas";"Pré-escola";"Rede privada";"Outros";0;0
"34";"Amazonas";"Pré-escola";"Rede pública";"Branca";11025,50357047;1772,73212227778
"35";"Amazonas";"Pré-escola";"Rede pública";"Negra";47135,22434026;4041,04472829785
"36";"Amazonas";"Pré-escola";"Rede pública";"Outros";1581,14172731;695,47053519025
"37";"Roraima";"Pré-escola";"Rede privada";"Branca";615,84282606;240,860830045048
"38";"Roraima";"Pré-escola";"Rede privada";"Negra";556,81004477;285,829937818369
"39";"Roraima";"Pré-escola";"Rede privada";"Outros";0;0
"40";"Roraima";"Pré-escola";"Rede pública";"Branca";2226,05375303;624,933591805453
"41";"Roraima";"Pré-escola";"Rede pública";"Negra";10770,41840461;1391,49986664493
"42";"Roraima";"Pré-escola";"Rede pública";"Outros";1031,54021286;489,356509709097
"43";"Pará";"Pré-escola";"Rede privada";"Branca";5967,2009126;2033,43944623113
"44";"Pará";"Pré-escola";"Rede privada";"Negra";20551,53627385;3913,57129763664
"45";"Pará";"Pré-escola";"Rede privada";"Outros";0;0
"46";"Pará";"Pré-escola";"Rede pública";"Branca";27616,95213351;6053,3122564951
"47";"Pará";"Pré-escola";"Rede pública";"Negra";104218,70412711;7829,10461112679
"48";"Pará";"Pré-escola";"Rede pública";"Outros";572,72806172;434,495246417639
"49";"Amapá";"Pré-escola";"Rede privada";"Branca";662,8500271;417,88201895883
"50";"Amapá";"Pré-escola";"Rede privada";"Negra";803,85160352;441,450400771084
"51";"Amapá";"Pré-escola";"Rede privada";"Outros";0;0
"52";"Amapá";"Pré-escola";"Rede pública";"Branca";2515,35889218;821,951012289263
"53";"Amapá";"Pré-escola";"Rede pública";"Negra";9813,89220572;1847,18099849375
"54";"Amapá";"Pré-escola";"Rede pública";"Outros";424,03336824;401,94504658651
"55";"Tocantins";"Pré-escola";"Rede privada";"Branca";1438,1566414;755,850279251025
"56";"Tocantins";"Pré-escola";"Rede privada";"Negra";1629,63942667;735,253897436919
"57";"Tocantins";"Pré-escola";"Rede privada";"Outros";0;0
"58";"Tocantins";"Pré-escola";"Rede pública";"Branca";3073,67262896;998,116723951448
"59";"Tocantins";"Pré-escola";"Rede pública";"Negra";13750,13843148;2447,75351576481
"60";"Tocantins";"Pré-escola";"Rede pública";"Outros";413,25159657;407,523483502415
"61";"Maranhão";"Pré-escola";"Rede privada";"Branca";6835,44717342;1561,46207481427
"62";"Maranhão";"Pré-escola";"Rede privada";"Negra";14738,03402056;2771,05673973159
"63";"Maranhão";"Pré-escola";"Rede privada";"Outros";0;0
"64";"Maranhão";"Pré-escola";"Rede pública";"Branca";15118,72196641;2084,7954414314
"65";"Maranhão";"Pré-escola";"Rede pública";"Negra";93528,54201907;5236,6157644924
"66";"Maranhão";"Pré-escola";"Rede pública";"Outros";1487,62891193;835,795589509269
"67";"Piauí";"Pré-escola";"Rede privada";"Branca";3822,9510854;1458,76572632047
"68";"Piauí";"Pré-escola";"Rede privada";"Negra";6765,40947444;1481,77912217853
"69";"Piauí";"Pré-escola";"Rede privada";"Outros";0;0
"70";"Piauí";"Pré-escola";"Rede pública";"Branca";8782,83785381;1759,49528868847
"71";"Piauí";"Pré-escola";"Rede pública";"Negra";44080,61524747;4800,93782139609
"72";"Piauí";"Pré-escola";"Rede pública";"Outros";396,32405226;369,349357349485
"73";"Ceará";"Pré-escola";"Rede privada";"Branca";19244,82327691;3884,14509442737
"74";"Ceará";"Pré-escola";"Rede privada";"Negra";20775,35395082;3569,2959130415
"75";"Ceará";"Pré-escola";"Rede privada";"Outros";0;0
"76";"Ceará";"Pré-escola";"Rede pública";"Branca";23368,40661675;3408,42221813588
"77";"Ceará";"Pré-escola";"Rede pública";"Negra";77307,50671887;6609,04353869519
"78";"Ceará";"Pré-escola";"Rede pública";"Outros";1219,49890573;873,058178749766
"79";"Rio Grande do Norte";"Pré-escola";"Rede privada";"Branca";4054,17960057;1785,49487469827
"80";"Rio Grande do Norte";"Pré-escola";"Rede privada";"Negra";4454,29699836;1316,18088495497
"81";"Rio Grande do Norte";"Pré-escola";"Rede privada";"Outros";0;0
"82";"Rio Grande do Norte";"Pré-escola";"Rede pública";"Branca";18873,49243464;3098,66393799741
"83";"Rio Grande do Norte";"Pré-escola";"Rede pública";"Negra";34573,24158725;4477,91365330242
"84";"Rio Grande do Norte";"Pré-escola";"Rede pública";"Outros";0;0
"85";"Paraíba";"Pré-escola";"Rede privada";"Branca";9263,86352007;1950,06251417302
"86";"Paraíba";"Pré-escola";"Rede privada";"Negra";11436,82443332;2166,88065976885
"87";"Paraíba";"Pré-escola";"Rede privada";"Outros";0;0
"88";"Paraíba";"Pré-escola";"Rede pública";"Branca";17741,66418189;3350,15112511209
"89";"Paraíba";"Pré-escola";"Rede pública";"Negra";33129,40918777;4335,70228956369
"90";"Paraíba";"Pré-escola";"Rede pública";"Outros";227,00703092;232,560161335173
"91";"Pernambuco";"Pré-escola";"Rede privada";"Branca";23618,19139785;4381,36093478781
"92";"Pernambuco";"Pré-escola";"Rede privada";"Negra";31695,26320571;5343,96289422204
"93";"Pernambuco";"Pré-escola";"Rede privada";"Outros";0;0
"94";"Pernambuco";"Pré-escola";"Rede pública";"Branca";19757,88862073;3509,93853060742
"95";"Pernambuco";"Pré-escola";"Rede pública";"Negra";52951,630913;5662,06938533436
"96";"Pernambuco";"Pré-escola";"Rede pública";"Outros";1328,36474932;1017,96594202901
"97";"Alagoas";"Pré-escola";"Rede privada";"Branca";6773,54066916;1364,74081300747
"98";"Alagoas";"Pré-escola";"Rede privada";"Negra";9490,47310698;1718,68629306513
"99";"Alagoas";"Pré-escola";"Rede privada";"Outros";0;0
"100";"Alagoas";"Pré-escola";"Rede pública";"Branca";9162,93128276;1512,4597927536
"101";"Alagoas";"Pré-escola";"Rede pública";"Negra";31042,32347718;2935,91392907618
"102";"Alagoas";"Pré-escola";"Rede pública";"Outros";96,57313073;103,883468738296
"103";"Sergipe";"Pré-escola";"Rede privada";"Branca";4664,10340673;1421,03228887641
"104";"Sergipe";"Pré-escola";"Rede privada";"Negra";9337,77474622;1723,76094563784
"105";"Sergipe";"Pré-escola";"Rede privada";"Outros";0;0
"106";"Sergipe";"Pré-escola";"Rede pública";"Branca";4906,47343375;1040,7555296888
"107";"Sergipe";"Pré-escola";"Rede pública";"Negra";19301,29152802;2210,18969997474
"108";"Sergipe";"Pré-escola";"Rede pública";"Outros";0;0
"109";"Bahia";"Pré-escola";"Rede privada";"Branca";19551,73173654;4016,34552328241
"110";"Bahia";"Pré-escola";"Rede privada";"Negra";55803,04694203;8328,86073837598
"111";"Bahia";"Pré-escola";"Rede privada";"Outros";0;0
"112";"Bahia";"Pré-escola";"Rede pública";"Branca";24167,48415094;4438,59351853821
"113";"Bahia";"Pré-escola";"Rede pública";"Negra";141704,59365794;12488,615983098
"114";"Bahia";"Pré-escola";"Rede pública";"Outros";1641,30677254;1064,00255515221
"115";"Minas Gerais";"Pré-escola";"Rede privada";"Branca";31412,7833961;5672,01548563743
"116";"Minas Gerais";"Pré-escola";"Rede privada";"Negra";17781,32296281;4479,7457548164
"117";"Minas Gerais";"Pré-escola";"Rede privada";"Outros";0;0
