"";"UF";"ETAPA";"COR";"taxa_pd";"se.pd"
"1";"Brasil";"Pré-escola";"Branca";0,412778351976768;0,0163640635817766
"2";"Brasil";"Pré-escola";"Negra";0,583520942777325;0,0163632918324064
"3";"Brasil";"Pré-escola";"Outros";0,00370070524590784;0,00229094341143446
"4";"Brasil";"Regular do ensino fundamental";"Branca";0,378403753659015;0,00763503934167071
"5";"Brasil";"Regular do ensino fundamental";"Negra";0,615655541535566;0,00763898203025421
"6";"Brasil";"Regular do ensino fundamental";"Outros";0,00594070480541934;0,00147236672671979
"7";"Brasil";"Regular do ensino médio";"Branca";0,429761295749508;0,011858908985477
"8";"Brasil";"Regular do ensino médio";"Negra";0,56556808862415;0,011741766324333
"9";"Brasil";"Regular do ensino médio";"Outros";0,00467061562634158;0,00135056908972902
"10";"Rondônia";"Pré-escola";"Branca";0,232888096519863;0,0767964532289491
"11";"Rondônia";"Pré-escola";"Negra";0,767111903480137;0,0767964532289491
"12";"Rondônia";"Pré-escola";"Outros";0;0
"13";"Acre";"Pré-escola";"Branca";0,203756597451911;0,0724094068854196
"14";"Acre";"Pré-escola";"Negra";0,766615611832202;0,0731687494281498
"15";"Acre";"Pré-escola";"Outros";0,0296277907158867;0,0267440747706981
"16";"Amazonas";"Pré-escola";"Branca";0,282854112272734;0,0619484302019513
"17";"Amazonas";"Pré-escola";"Negra";0,717145887727266;0,0619484302019513
"18";"Amazonas";"Pré-escola";"Outros";0;0
"19";"Roraima";"Pré-escola";"Branca";0,182825061056314;0,0623680952174103
"20";"Roraima";"Pré-escola";"Negra";0,796560929269309;0,0639344802889233
"21";"Roraima";"Pré-escola";"Outros";0,0206140096743773;0,0231176934098176
"22";"Pará";"Pré-escola";"Branca";0,17415060135238;0,0420701714695505
"23";"Pará";"Pré-escola";"Negra";0,818932077731279;0,0425922964299142
"24";"Pará";"Pré-escola";"Outros";0,00691732091634076;0,00717695807258495
"25";"Amapá";"Pré-escola";"Branca";0,206473241468624;0,125130098792221
"26";"Amapá";"Pré-escola";"Negra";0,793526758531376;0,125130098792221
"27";"Amapá";"Pré-escola";"Outros";0;0
"28";"Tocantins";"Pré-escola";"Branca";0,209627907736299;0,100283311723011
"29";"Tocantins";"Pré-escola";"Negra";0,790372092263701;0,100283311723011
"30";"Tocantins";"Pré-escola";"Outros";0;0
"31";"Maranhão";"Pré-escola";"Branca";0,18152193883214;0,031543234913221
"32";"Maranhão";"Pré-escola";"Negra";0,818478061167859;0,031543234913221
"33";"Maranhão";"Pré-escola";"Outros";0;0
"34";"Piauí";"Pré-escola";"Branca";0,163390188848423;0,0555485323643995
"35";"Piauí";"Pré-escola";"Negra";0,836609811151577;0,0555485323643995
"36";"Piauí";"Pré-escola";"Outros";0;0
"37";"Ceará";"Pré-escola";"Branca";0,260865427740953;0,0475556016901984
"38";"Ceará";"Pré-escola";"Negra";0,728119501740299;0,0473610072161858
"39";"Ceará";"Pré-escola";"Outros";0,0110150705187472;0,0104180309720567
"40";"Rio Grande do Norte";"Pré-escola";"Branca";0,406307234610009;0,0943245840848818
"41";"Rio Grande do Norte";"Pré-escola";"Negra";0,593692765389991;0,0943245840848818
"42";"Rio Grande do Norte";"Pré-escola";"Outros";0;0
"43";"Paraíba";"Pré-escola";"Branca";0,452211544445891;0,0710447041143405
"44";"Paraíba";"Pré-escola";"Negra";0,547788455554109;0,0710447041143405
"45";"Paraíba";"Pré-escola";"Outros";0;0
"46";"Pernambuco";"Pré-escola";"Branca";0,278389643552014;0,0580509293012344
"47";"Pernambuco";"Pré-escola";"Negra";0,721610356447986;0,0580509293012344
"48";"Pernambuco";"Pré-escola";"Outros";0;0
"49";"Alagoas";"Pré-escola";"Branca";0,296525676660017;0,0537753784725063
"50";"Alagoas";"Pré-escola";"Negra";0,703474323339983;0,0537753784725063
"51";"Alagoas";"Pré-escola";"Outros";0;0
"52";"Sergipe";"Pré-escola";"Branca";0,0803434790017076;0,0495805980483807
"53";"Sergipe";"Pré-escola";"Negra";0,919656520998292;0,0495805980483807
"54";"Sergipe";"Pré-escola";"Outros";0;0
"55";"Bahia";"Pré-escola";"Branca";0,205151348013836;0,0518617416137324
"56";"Bahia";"Pré-escola";"Negra";0,794848651986164;0,0518617416137324
"57";"Bahia";"Pré-escola";"Outros";0;0
"58";"Minas Gerais";"Pré-escola";"Branca";0,408584346296899;0,0463776602127686
"59";"Minas Gerais";"Pré-escola";"Negra";0,589409679499973;0,0465436871784717
"60";"Minas Gerais";"Pré-escola";"Outros";0,00200597420312855;0,00207614204036544
"61";"Espírito Santo";"Pré-escola";"Branca";0,413839671976413;0,0608674603175104
"62";"Espírito Santo";"Pré-escola";"Negra";0,586160328023588;0,0608674603175104
"63";"Espírito Santo";"Pré-escola";"Outros";0;0
"64";"Rio de Janeiro";"Pré-escola";"Branca";0,418562627528117;0,0563210035246204
"65";"Rio de Janeiro";"Pré-escola";"Negra";0,581437372471883;0,0563210035246203
"66";"Rio de Janeiro";"Pré-escola";"Outros";0;0
"67";"São Paulo";"Pré-escola";"Branca";0,560541610626968;0,0523798585017135
"68";"São Paulo";"Pré-escola";"Negra";0,428614258298102;0,0523492654751865
